,LAYER,MAP_NAME,NAME,count,geometry,max,mean,median,min,std
0,Coverage/Quad,User Created Features,2,4444,"POLYGON Z ((289583.7082967249 5130289.22604238 0, 289588.7052508601 5130289.051544896 0, 289588.356255893 5130279.057636626 0, 289583.3593017579 5130279.232134109 0, 289583.7082967249 5130289.22604238 0))",0.8730922751819676,0.4385587597458778,0.4365000402685732,0.18846134945206153,0.07892090901094419
1,Coverage/Quad,User Created Features,3,4440,"POLYGON Z ((289588.7052508601 5130289.051544896 0, 289593.7022049951 5130288.877047412 0, 289593.3532100281 5130278.883139142 0, 289588.356255893 5130279.057636626 0, 289588.7052508601 5130289.051544896 0))",0.8879712439556677,0.4452819937749959,0.4253038926521568,0.19321436439744438,0.09108963064607323
2,Coverage/Quad,User Created Features,4,4440,"POLYGON Z ((289593.7022049951 5130288.877047412 0, 289598.6991591303 5130288.702549929 0, 289598.3501641632 5130278.708641659 0, 289593.3532100281 5130278.883139142 0, 289593.7022049951 5130288.877047412 0))",0.8901471055138109,0.5528639621906736,0.5197460633326088,0.23222200809404508,0.11244034321025762
3,Coverage/Quad,User Created Features,5,4444,"POLYGON Z ((289598.6991591303 5130288.702549929 0, 289603.6961132654 5130288.528052446 0, 289603.3471182983 5130278.534144175 0, 289598.3501641632 5130278.708641659 0, 289598.6991591303 5130288.702549929 0))",0.8650828827231628,0.5302947234991199,0.5153917721426213,0.09082526509912402,0.11057006617907778
4,Coverage/Quad,User Created Features,6,4442,"POLYGON Z ((289603.6961132654 5130288.528052446 0, 289608.6930674004 5130288.353554962 0, 289608.3440724334 5130278.359646692 0, 289603.3471182983 5130278.534144175 0, 289603.6961132654 5130288.528052446 0))",0.9224502515247296,0.5366596028220669,0.4958131480537141,0.10469667318982387,0.13273084482254663
5,Coverage/Quad,User Created Features,7,4445,"POLYGON Z ((289608.6930674004 5130288.353554962 0, 289613.6900215356 5130288.179057478 0, 289613.3410265685 5130278.185149208 0, 289608.3440724334 5130278.359646692 0, 289608.6930674004 5130288.353554962 0))",0.8971087560448606,0.5078974946123235,0.475092936802974,0.11535401750198886,0.1296331690639436
6,Coverage/Quad,User Created Features,8,4446,"POLYGON Z ((289613.6900215356 5130288.179057478 0, 289618.6869756706 5130288.004559995 0, 289618.3379807036 5130278.010651724 0, 289613.3410265685 5130278.185149208 0, 289613.6900215356 5130288.179057478 0))",0.8894091415830546,0.5230993130737205,0.5019399478300353,0.13717693836978131,0.13755298887255937
7,Coverage/Quad,User Created Features,9,4437,"POLYGON Z ((289618.6869756706 5130288.004559995 0, 289623.6839298057 5130287.830062511 0, 289623.3349348387 5130277.836154241 0, 289618.3379807036 5130278.010651724 0, 289618.6869756706 5130288.004559995 0))",0.9347369760193371,0.5947246365530755,0.5873946500549652,0.3053282414984543,0.12351576684792899
8,Coverage/Quad,User Created Features,10,4443,"POLYGON Z ((289623.6839298057 5130287.830062511 0, 289628.6808839408 5130287.655565028 0, 289628.3318889738 5130277.661656758 0, 289623.3349348387 5130277.836154241 0, 289623.6839298057 5130287.830062511 0))",0.8965024982155603,0.604641379444694,0.5972783329789496,0.3296518354896392,0.1139055450307811
9,Coverage/Quad,User Created Features,11,4444,"POLYGON Z ((289628.6808839408 5130287.655565028 0, 289633.6778380759 5130287.481067544 0, 289633.3288431089 5130277.487159275 0, 289628.3318889738 5130277.661656758 0, 289628.6808839408 5130287.655565028 0))",0.8962822936357908,0.5853433872649966,0.5521232664751614,0.34253897550111356,0.12113099345635095
