,LAYER,MAP_NAME,NAME,count,geometry,max,mean,median,min,std
0,Coverage/Quad,User Created Features - Coverage/Quad,1,3318,"POLYGON Z ((289707.8746458541 5130279.81225984 1182.502075195313, 289712.1887254441 5130279.586168512 1190.569458007813, 289711.7365427822 5130270.95800933 1181.893310546875, 289707.4224631921 5130271.184100661 1181.552978515625, 289707.8746458541 5130279.81225984 1182.502075195313))",363.3816833496094,361.1412937286175,360.44146728515625,360.1291198730469,1.0915928729052873
1,Coverage/Quad,User Created Features - Coverage/Quad,2,3316,"POLYGON Z ((289712.1887254441 5130279.586168512 1190.569458007813, 289716.5028050343 5130279.36007718 1183.2119140625, 289716.0506223724 5130270.731917999 1181.8935546875, 289711.7365427822 5130270.95800933 1181.893310546875, 289712.1887254441 5130279.586168512 1190.569458007813))",363.3824462890625,361.7102968701407,361.92701721191406,360.1318664550781,1.2159263210246445
2,Coverage/Quad,User Created Features - Coverage/Quad,3,3310,"POLYGON Z ((289716.5028050343 5130279.36007718 1183.2119140625, 289720.8168846245 5130279.133985849 1182.667846679688, 289720.3647019625 5130270.505826668 1181.731323242188, 289716.0506223724 5130270.731917999 1181.8935546875, 289716.5028050343 5130279.36007718 1183.2119140625))",363.384765625,361.13859161653545,360.42578125,360.1172790527344,1.122889582496333
3,Coverage/Quad,User Created Features - Coverage/Quad,4,3322,"POLYGON Z ((289720.8168846245 5130279.133985849 1182.667846679688, 289725.1309642145 5130278.907894517 1182.782470703125, 289724.6787815526 5130270.279735336 1182.038818359375, 289720.3647019625 5130270.505826668 1181.731323242188, 289720.8168846245 5130279.133985849 1182.667846679688))",363.38720703125,361.91543625034103,362.5852508544922,360.1104431152344,1.2586439519540773
4,Coverage/Quad,User Created Features - Coverage/Quad,5,3320,"POLYGON Z ((289725.1309642145 5130278.907894517 1182.782470703125, 289729.4450438048 5130278.681803185 1182.621948242188, 289728.9928611428 5130270.053644007 1186.759765625, 289724.6787815526 5130270.279735336 1182.038818359375, 289725.1309642145 5130278.907894517 1182.782470703125))",363.37799072265625,361.55850101149224,360.54652404785156,360.0066833496094,1.305163652898054
5,Coverage/Quad,User Created Features - Coverage/Quad,6,3312,"POLYGON Z ((289729.4450438048 5130278.681803185 1182.621948242188, 289733.7591233949 5130278.455711855 1189.408935546875, 289733.3069407329 5130269.827552675 1181.736206054688, 289728.9928611428 5130270.053644007 1186.759765625, 289729.4450438048 5130278.681803185 1182.621948242188))",363.3758544921875,361.39857735380457,360.9265594482422,360.11346435546875,1.086420200732127
6,Coverage/Quad,User Created Features - Coverage/Quad,7,3317,"POLYGON Z ((289733.7591233949 5130278.455711855 1189.408935546875, 289738.073202985 5130278.229620525 1189.440551757813, 289737.6210203231 5130269.601461344 1190.54736328125, 289733.3069407329 5130269.827552675 1181.736206054688, 289733.7591233949 5130278.455711855 1189.408935546875))",363.2555236816406,361.0624333894285,360.3954772949219,359.9595947265625,0.981627821616638
7,Coverage/Quad,User Created Features - Coverage/Quad,8,3315,"POLYGON Z ((289738.073202985 5130278.229620525 1189.440551757813, 289742.3872825751 5130278.003529194 1184.783325195313, 289741.9350999132 5130269.375370013 1181.736450195313, 289737.6210203231 5130269.601461344 1190.54736328125, 289738.073202985 5130278.229620525 1189.440551757813))",363.3887634277344,361.7169294952807,361.86956787109375,360.1304931640625,1.3385660760709124
8,Coverage/Quad,User Created Features - Coverage/Quad,9,3310,"POLYGON Z ((289742.3872825751 5130278.003529194 1184.783325195313, 289746.7013621652 5130277.777437863 1181.794799804688, 289746.2491795033 5130269.149278684 1180.935302734375, 289741.9350999132 5130269.375370013 1181.736450195313, 289742.3872825751 5130278.003529194 1184.783325195313))",363.3742370605469,360.9531885060659,360.2524719238281,359.9454345703125,1.1835325407109962
9,Coverage/Quad,User Created Features - Coverage/Quad,10,3318,"POLYGON Z ((289707.4224631921 5130271.184100661 1181.552978515625, 289711.7365427822 5130270.95800933 1181.893310546875, 289711.2843601204 5130262.32985015 1185.06494140625, 289706.9702805302 5130262.555941478 1180.68359375, 289707.4224631921 5130271.184100661 1181.552978515625))",362.9800109863281,360.57674844384263,360.1201934814453,359.8555908203125,0.922800308783675
10,Coverage/Quad,User Created Features - Coverage/Quad,11,3316,"POLYGON Z ((289711.7365427822 5130270.95800933 1181.893310546875, 289716.0506223724 5130270.731917999 1181.8935546875, 289715.5984397105 5130262.103758818 1186.710693359375, 289711.2843601204 5130262.32985015 1185.06494140625, 289711.7365427822 5130270.95800933 1181.893310546875))",363.38330078125,361.49535484912167,361.6549072265625,359.25787353515625,1.16815951735043
