,LAYER,MAP_NAME,NAME,count,geometry,max,mean,median,min,std
0,Coverage/Quad,User Created Features - Coverage/Quad,1,3318,"POLYGON Z ((289707.8746458541 5130279.81225984 1182.502075195313, 289712.1887254441 5130279.586168512 1190.569458007813, 289711.7365427822 5130270.95800933 1181.893310546875, 289707.4224631921 5130271.184100661 1181.552978515625, 289707.8746458541 5130279.81225984 1182.502075195313))",30431.0,30196.628691983122,30193.0,30008.0,120.98205814568341
1,Coverage/Quad,User Created Features - Coverage/Quad,2,3316,"POLYGON Z ((289712.1887254441 5130279.586168512 1190.569458007813, 289716.5028050343 5130279.36007718 1183.2119140625, 289716.0506223724 5130270.731917999 1181.8935546875, 289711.7365427822 5130270.95800933 1181.893310546875, 289712.1887254441 5130279.586168512 1190.569458007813))",30560.0,30333.192702050663,30332.0,30068.0,123.85609263888678
2,Coverage/Quad,User Created Features - Coverage/Quad,3,3310,"POLYGON Z ((289716.5028050343 5130279.36007718 1183.2119140625, 289720.8168846245 5130279.133985849 1182.667846679688, 289720.3647019625 5130270.505826668 1181.731323242188, 289716.0506223724 5130270.731917999 1181.8935546875, 289716.5028050343 5130279.36007718 1183.2119140625))",30645.0,30266.030211480364,30275.5,29792.0,170.83120675705035
3,Coverage/Quad,User Created Features - Coverage/Quad,4,3322,"POLYGON Z ((289720.8168846245 5130279.133985849 1182.667846679688, 289725.1309642145 5130278.907894517 1182.782470703125, 289724.6787815526 5130270.279735336 1182.038818359375, 289720.3647019625 5130270.505826668 1181.731323242188, 289720.8168846245 5130279.133985849 1182.667846679688))",30700.0,30386.137266706803,30391.0,29790.0,201.2669185146307
4,Coverage/Quad,User Created Features - Coverage/Quad,5,3320,"POLYGON Z ((289725.1309642145 5130278.907894517 1182.782470703125, 289729.4450438048 5130278.681803185 1182.621948242188, 289728.9928611428 5130270.053644007 1186.759765625, 289724.6787815526 5130270.279735336 1182.038818359375, 289725.1309642145 5130278.907894517 1182.782470703125))",30691.0,30209.90451807229,30262.0,29618.0,292.2993919903021
5,Coverage/Quad,User Created Features - Coverage/Quad,6,3312,"POLYGON Z ((289729.4450438048 5130278.681803185 1182.621948242188, 289733.7591233949 5130278.455711855 1189.408935546875, 289733.3069407329 5130269.827552675 1181.736206054688, 289728.9928611428 5130270.053644007 1186.759765625, 289729.4450438048 5130278.681803185 1182.621948242188))",30661.0,30295.19172705314,30354.0,29632.0,282.5621512867053
6,Coverage/Quad,User Created Features - Coverage/Quad,7,3317,"POLYGON Z ((289733.7591233949 5130278.455711855 1189.408935546875, 289738.073202985 5130278.229620525 1189.440551757813, 289737.6210203231 5130269.601461344 1190.54736328125, 289733.3069407329 5130269.827552675 1181.736206054688, 289733.7591233949 5130278.455711855 1189.408935546875))",30661.0,30357.934579439254,30409.0,29796.0,217.95339936363206
7,Coverage/Quad,User Created Features - Coverage/Quad,8,3315,"POLYGON Z ((289738.073202985 5130278.229620525 1189.440551757813, 289742.3872825751 5130278.003529194 1184.783325195313, 289741.9350999132 5130269.375370013 1181.736450195313, 289737.6210203231 5130269.601461344 1190.54736328125, 289738.073202985 5130278.229620525 1189.440551757813))",30630.0,30125.02262443439,30072.0,29616.0,279.34545305541536
8,Coverage/Quad,User Created Features - Coverage/Quad,9,3310,"POLYGON Z ((289742.3872825751 5130278.003529194 1184.783325195313, 289746.7013621652 5130277.777437863 1181.794799804688, 289746.2491795033 5130269.149278684 1180.935302734375, 289741.9350999132 5130269.375370013 1181.736450195313, 289742.3872825751 5130278.003529194 1184.783325195313))",30660.0,30514.919335347433,30549.5,30196.0,110.7260950073212
9,Coverage/Quad,User Created Features - Coverage/Quad,10,3318,"POLYGON Z ((289707.4224631921 5130271.184100661 1181.552978515625, 289711.7365427822 5130270.95800933 1181.893310546875, 289711.2843601204 5130262.32985015 1185.06494140625, 289706.9702805302 5130262.555941478 1180.68359375, 289707.4224631921 5130271.184100661 1181.552978515625))",30512.0,30242.106992163954,30256.0,29986.0,146.26798691345562
10,Coverage/Quad,User Created Features - Coverage/Quad,11,3316,"POLYGON Z ((289711.7365427822 5130270.95800933 1181.893310546875, 289716.0506223724 5130270.731917999 1181.8935546875, 289715.5984397105 5130262.103758818 1186.710693359375, 289711.2843601204 5130262.32985015 1185.06494140625, 289711.7365427822 5130270.95800933 1181.893310546875))",30682.0,30452.075090470447,30505.5,30026.0,193.20983385483402
11,Coverage/Quad,User Created Features - Coverage/Quad,12,3320,"POLYGON Z ((289716.0506223724 5130270.731917999 1181.8935546875, 289720.3647019625 5130270.505826668 1181.731323242188, 289719.9125193006 5130261.877667488 1180.973754882813, 289715.5984397105 5130262.103758818 1186.710693359375, 289716.0506223724 5130270.731917999 1181.8935546875))",30648.0,30256.17048192771,30323.0,29707.0,293.7475072989489
12,Coverage/Quad,User Created Features - Coverage/Quad,13,3315,"POLYGON Z ((289720.3647019625 5130270.505826668 1181.731323242188, 289724.6787815526 5130270.279735336 1182.038818359375, 289724.2265988907 5130261.651576158 1181.199584960938, 289719.9125193006 5130261.877667488 1180.973754882813, 289720.3647019625 5130270.505826668 1181.731323242188))",30558.0,30140.01990950226,30156.0,29701.0,267.1981344293514
13,Coverage/Quad,User Created Features - Coverage/Quad,14,3312,"POLYGON Z ((289724.6787815526 5130270.279735336 1182.038818359375, 289728.9928611428 5130270.053644007 1186.759765625, 289728.5406784808 5130261.425484825 1189.457153320313, 289724.2265988907 5130261.651576158 1181.199584960938, 289724.6787815526 5130270.279735336 1182.038818359375))",30557.0,30293.685990338163,30367.0,29821.0,216.46577464155618
14,Coverage/Quad,User Created Features - Coverage/Quad,15,3317,"POLYGON Z ((289728.9928611428 5130270.053644007 1186.759765625, 289733.3069407329 5130269.827552675 1181.736206054688, 289732.854758071 5130261.199393493 1190.29736328125, 289728.5406784808 5130261.425484825 1189.457153320313, 289728.9928611428 5130270.053644007 1186.759765625))",30557.0,30071.61410913476,30028.0,29763.0,221.30296729652216
15,Coverage/Quad,User Created Features - Coverage/Quad,16,3315,"POLYGON Z ((289733.3069407329 5130269.827552675 1181.736206054688, 289737.6210203231 5130269.601461344 1190.54736328125, 289737.1688376612 5130260.973302164 1189.3173828125, 289732.854758071 5130261.199393493 1190.29736328125, 289733.3069407329 5130269.827552675 1181.736206054688))",30561.0,30311.16681749623,30357.0,29905.0,160.93559296480535
16,Coverage/Quad,User Created Features - Coverage/Quad,17,3315,"POLYGON Z ((289737.6210203231 5130269.601461344 1190.54736328125, 289741.9350999132 5130269.375370013 1181.736450195313, 289741.4829172512 5130260.747210834 1182.112182617188, 289737.1688376612 5130260.973302164 1189.3173828125, 289737.6210203231 5130269.601461344 1190.54736328125))",30542.0,30013.56349924585,29953.0,29777.0,185.707037794473
17,Coverage/Quad,User Created Features - Coverage/Quad,18,3322,"POLYGON Z ((289741.9350999132 5130269.375370013 1181.736450195313, 289746.2491795033 5130269.149278684 1180.935302734375, 289745.7969968414 5130260.521119501 1180.198364257813, 289741.4829172512 5130260.747210834 1182.112182617188, 289741.9350999132 5130269.375370013 1181.736450195313))",30600.0,30355.17338952438,30360.0,30081.0,123.12447279079096
18,Coverage/Quad,User Created Features - Coverage/Quad,19,3313,"POLYGON Z ((289706.9702805302 5130262.555941478 1180.68359375, 289711.2843601204 5130262.32985015 1185.06494140625, 289710.8321774584 5130253.701690969 1184.404052734375, 289706.5180978682 5130253.927782301 1179.753295898438, 289706.9702805302 5130262.555941478 1180.68359375))",30512.0,30227.548143676428,30245.0,29768.0,199.1513511411845
19,Coverage/Quad,User Created Features - Coverage/Quad,20,3313,"POLYGON Z ((289711.2843601204 5130262.32985015 1185.06494140625, 289715.5984397105 5130262.103758818 1186.710693359375, 289715.1462570485 5130253.475599638 1183.762939453125, 289710.8321774584 5130253.701690969 1184.404052734375, 289711.2843601204 5130262.32985015 1185.06494140625))",30683.0,30393.510413522486,30474.0,29763.0,247.66841866780888
20,Coverage/Quad,User Created Features - Coverage/Quad,21,3317,"POLYGON Z ((289715.5984397105 5130262.103758818 1186.710693359375, 289719.9125193006 5130261.877667488 1180.973754882813, 289719.4603366386 5130253.249508308 1180.119750976563, 289715.1462570485 5130253.475599638 1183.762939453125, 289715.5984397105 5130262.103758818 1186.710693359375))",30643.0,30260.042809767863,30314.0,29636.0,288.25381360092314
21,Coverage/Quad,User Created Features - Coverage/Quad,22,3313,"POLYGON Z ((289719.9125193006 5130261.877667488 1180.973754882813, 289724.2265988907 5130261.651576158 1181.199584960938, 289723.7744162287 5130253.023416977 1180.475708007813, 289719.4603366386 5130253.249508308 1180.119750976563, 289719.9125193006 5130261.877667488 1180.973754882813))",30481.0,30027.07214005433,30011.0,29594.0,253.10282390426786
22,Coverage/Quad,User Created Features - Coverage/Quad,23,3315,"POLYGON Z ((289724.2265988907 5130261.651576158 1181.199584960938, 289728.5406784808 5130261.425484825 1189.457153320313, 289728.088495819 5130252.797325644 1185.766845703125, 289723.7744162287 5130253.023416977 1180.475708007813, 289724.2265988907 5130261.651576158 1181.199584960938))",30499.0,30229.20935143288,30294.0,29625.0,221.5770642184426
23,Coverage/Quad,User Created Features - Coverage/Quad,24,3322,"POLYGON Z ((289728.5406784808 5130261.425484825 1189.457153320313, 289732.854758071 5130261.199393493 1190.29736328125, 289732.402575409 5130252.571234314 1188.164672851563, 289728.088495819 5130252.797325644 1185.766845703125, 289728.5406784808 5130261.425484825 1189.457153320313))",30187.0,29812.793497892835,29809.0,29469.0,148.50445126939985
